10,"1,26418790706713E+017",2011-10-18 22:06:03,text,class,apple
12,"1,26417285559763E+017",2011-10-18 22:00:04,"RT @Jewelz2611 @mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..",negative,apple
13,"1,26416915664085E+017",2011-10-18 21:58:36,"@mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..",negative,apple
14,"1,2641610921268E+017",2011-10-18 21:55:23,THiS IS WHAT WiLL KiLL APPLE http://t.co/72Jw4z5c RiP @APPLE,negative,apple
20,"1,26411162622497E+017",2011-10-18 21:35:44,@apple why my tunes no go on my iPhone? iPhone lonely without them. silly #iOS5,negative,apple
21,"1,26410591949697E+017",2011-10-18 21:33:28,@apple needs to hurry up and release #iTunesMatch,negative,apple
24,"1,26409696553861E+017",2011-10-18 21:29:54,Why is  #Siri always down @apple,negative,apple
25,"1,26408864387183E+017",2011-10-18 21:26:36,I just need to exchange a cord at the apple store why do I have to wait for a genius? @apple,negative,apple
27,"1,26408052525105E+017",2011-10-18 21:23:22,@apple AirDrop #fail - Immediate &quot;declined your request.&quot; every time,negative,apple
29,"1,26407767132078E+017",2011-10-18 21:22:14,good article about why @apple fucked it all up with lion and their future. http://t.co/zNDP9Vr6 #fb,negative,apple
35,"1,26405405667627E+017",2011-10-18 21:12:51,RT @radlerc: Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s,negative,apple
36,"1,26405185630253E+017",2011-10-18 21:11:59,Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s,negative,apple
38,"1,26405040809312E+017",2011-10-18 21:11:24,The one #iphone feature still missing since @apple first showed it.. Contacts pictures on the contacts list! Simple yet 5 major updates miss,negative,apple
46,"1,26400637930979E+017",2011-10-18 20:53:55,Asked siri is she dreams of electric sleep. Was disappointed that she didn't have a snippy answer.  Missed opportunity @apple,negative,apple
